"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",20.41,27.64,17.56
"2023-11-16 00:00:00",25.35,25.57,17.41
"2023-11-17 00:00:00",11.06,14.13,7.06
"2023-11-18 00:00:00",1.89,8.86,5.68
"2023-11-19 00:00:00",-0.29,7.95,5.01
"2023-11-20 00:00:00",4,6.87,4.21
"2023-11-21 00:00:00",14.35,16.37,8.14
"2023-11-22 00:00:00",5.66,3.89,2.48
"2023-11-23 00:00:00",3.5,9.61,4.07
"2023-11-24 00:00:00",15.55,21.08,11.65
"2023-11-25 00:00:00",28.37,26.93,19.63
"2023-11-26 00:00:00",18.42,10.16,8.15
"2023-11-27 00:00:00",2.32,3.68,2.65
"2023-11-28 00:00:00",20.41,17.24,11.83
"2023-11-29 00:00:00",19.82,11.5,7.5
"2023-11-30 00:00:00",15.4,9.98,7.02
"2023-12-01 00:00:00",24.24,23.87,20.51
"2023-12-02 00:00:00",26.01,23.54,21.33
"2023-12-03 00:00:00",12.99,14.09,12.95
"2023-12-04 00:00:00",7.75,7.09,5.48
"2023-12-05 00:00:00",23.93,26.46,22.11
"2023-12-06 00:00:00",9.11,9.74,7.36
"2023-12-07 00:00:00",10.37,12.13,6.86
"2023-12-08 00:00:00",4.77,14.03,8.02
"2023-12-09 00:00:00",0.81,11.43,7.04
"2023-12-10 00:00:00",0.39,11.03,6.6
"2023-12-11 00:00:00",12.83,10.81,7.19
"2023-12-12 00:00:00",23.43,11.1,7.27
"2023-12-13 00:00:00",20.55,9.39,5.94
"2023-12-14 00:00:00",19.2,17.49,9.7
"2023-12-15 00:00:00",11.99,10.17,5.62
