"Date and Time","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",12.42,9.01
"2023-11-16 00:00:00",10.99,6.97
"2023-11-17 00:00:00",8.71,6.96
"2023-11-18 00:00:00",8.43,7.81
"2023-11-19 00:00:00",8.23,7.7
"2023-11-20 00:00:00",6.73,5.2
"2023-11-21 00:00:00",12.01,8.51
"2023-11-22 00:00:00",2.7,2.01
"2023-11-23 00:00:00",4.88,4.09
"2023-11-24 00:00:00",18.69,12.55
"2023-11-25 00:00:00",11.44,7.61
"2023-11-26 00:00:00",3.99,2.83
"2023-11-27 00:00:00",4.36,2.85
"2023-11-28 00:00:00",7.34,4.82
"2023-11-29 00:00:00",3.38,2.25
"2023-11-30 00:00:00",3.79,2.55
"2023-12-01 00:00:00",5.05,3.35
"2023-12-02 00:00:00",4.45,2.95
"2023-12-03 00:00:00",2.79,2
"2023-12-04 00:00:00",4.47,2.69
"2023-12-05 00:00:00",7.65,5.38
"2023-12-06 00:00:00",8.42,6.53
"2023-12-07 00:00:00",10.93,9.06
"2023-12-08 00:00:00",11.51,10.69
"2023-12-09 00:00:00",5.62,4.84
"2023-12-10 00:00:00",10.42,9.23
"2023-12-11 00:00:00",7.68,5.9
"2023-12-12 00:00:00",6.7,5.33
"2023-12-13 00:00:00",5.37,3.26
"2023-12-14 00:00:00",14.24,12.02
"2023-12-15 00:00:00",7.35,5.81
