"Date and Time","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",14.92,11.36
"2023-11-16 00:00:00",13.69,9.56
"2023-11-17 00:00:00",10.13,8.46
"2023-11-18 00:00:00",9.95,8.95
"2023-11-19 00:00:00",8.73,8.19
"2023-11-20 00:00:00",6.09,5.28
"2023-11-21 00:00:00",11.79,9.18
"2023-11-22 00:00:00",2.96,2.37
"2023-11-23 00:00:00",4.89,4.36
"2023-11-24 00:00:00",14.76,12.42
"2023-11-25 00:00:00",13.71,10.18
"2023-11-26 00:00:00",5.02,3.95
"2023-11-27 00:00:00",3.94,3.08
"2023-11-28 00:00:00",7.07,5.33
"2023-11-29 00:00:00",5.43,3.93
"2023-11-30 00:00:00",4.23,3.37
"2023-12-01 00:00:00",6.45,4.72
"2023-12-02 00:00:00",5.61,4.14
"2023-12-03 00:00:00",5.6,2.55
"2023-12-04 00:00:00",3.24,2.72
"2023-12-05 00:00:00",8.1,6.77
"2023-12-06 00:00:00",12.25,10.89
"2023-12-07 00:00:00",16.39,14.13
"2023-12-08 00:00:00",12.69,11.33
"2023-12-09 00:00:00",12.65,11.71
"2023-12-10 00:00:00",11.42,10.45
"2023-12-11 00:00:00",9.38,7.93
"2023-12-12 00:00:00",7.35,6.32
"2023-12-13 00:00:00",6.3,4.49
"2023-12-14 00:00:00",14.39,12.84
"2023-12-15 00:00:00",8.39,6.6
