"Date and Time","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",19.6,12.54
"2023-11-16 00:00:00",19.85,11.57
"2023-11-17 00:00:00",14,9.53
"2023-11-18 00:00:00",11.35,9.82
"2023-11-19 00:00:00",10.95,9.68
"2023-11-20 00:00:00",8.54,6.2
"2023-11-21 00:00:00",20.04,11.7
"2023-11-22 00:00:00",5.55,3.45
"2023-11-23 00:00:00",13.3,8.86
"2023-11-24 00:00:00",22.28,14.69
"2023-11-25 00:00:00",18.39,10.89
"2023-11-26 00:00:00",6.5,4.26
"2023-11-27 00:00:00",7.77,4.26
"2023-11-28 00:00:00",17.9,9.35
"2023-11-29 00:00:00",10.55,6.38
"2023-11-30 00:00:00",6,4.26
"2023-12-01 00:00:00",11.98,6.85
"2023-12-02 00:00:00",11.44,6.21
"2023-12-03 00:00:00",5.83,4.64
"2023-12-04 00:00:00",5.09,3.17
"2023-12-05 00:00:00",12.12,8.25
"2023-12-06 00:00:00",12.46,9.77
"2023-12-07 00:00:00",15.15,12.53
"2023-12-08 00:00:00",16.28,13.19
"2023-12-09 00:00:00",16.18,13.24
"2023-12-10 00:00:00",13.47,11.69
"2023-12-11 00:00:00",17.47,9.86
"2023-12-12 00:00:00",11.51,8
"2023-12-13 00:00:00",12.59,6.11
"2023-12-14 00:00:00",24.8,16.48
"2023-12-15 00:00:00",12.35,7.91
