"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",35.98,29.07,18.48
"2023-11-16 00:00:00",41.4,27.72,16.55
"2023-11-17 00:00:00",19.03,10.61,5.49
"2023-11-18 00:00:00",5.15,8.41,5.58
"2023-11-19 00:00:00",3.88,7.81,5.03
"2023-11-20 00:00:00",11.73,7.43,4.14
"2023-11-21 00:00:00",30.63,20.04,9.13
"2023-11-22 00:00:00",17.96,5.83,2.59
"2023-11-23 00:00:00",15.18,13.81,5.24
"2023-11-24 00:00:00",27.66,24.66,12.03
"2023-11-25 00:00:00",41.95,29.44,20.03
"2023-11-26 00:00:00",29.05,10.93,7.81
"2023-11-27 00:00:00",9.57,3.34,2.3
"2023-11-28 00:00:00",40.34,25.23,15.16
"2023-11-29 00:00:00",32.35,16.69,10.36
"2023-11-30 00:00:00",28.33,9.7,6.82
"2023-12-01 00:00:00",42.53,25.65,21.14
"2023-12-02 00:00:00",44.2,26.69,23.1
"2023-12-03 00:00:00",23.27,12.56,11.24
"2023-12-04 00:00:00",20.14,6.84,4.91
"2023-12-05 00:00:00",30.67,25.39,21.58
"2023-12-06 00:00:00",13.74,7.69,5.46
"2023-12-07 00:00:00",13.58,10.2,6.16
"2023-12-08 00:00:00",8.86,13.42,8.01
"2023-12-09 00:00:00",10.35,12.73,7.29
"2023-12-10 00:00:00",4.41,10.18,6.14
"2023-12-11 00:00:00",21.74,7.9,4.53
"2023-12-12 00:00:00",34.68,10.2,6.82
"2023-12-13 00:00:00",23.97,11.75,6.64
"2023-12-14 00:00:00",32.35,21.06,10.85
"2023-12-15 00:00:00",14.85,11.06,5.57
