"Date and Time","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",17.68,12.81
"2023-11-16 00:00:00",25.3,13.94
"2023-11-17 00:00:00",11.45,6.8
"2023-11-18 00:00:00",7.42,6.63
"2023-11-19 00:00:00",7.45,6.47
"2023-11-20 00:00:00",7.31,5.28
"2023-11-21 00:00:00",15.58,9.43
"2023-11-22 00:00:00",4.13,2.63
"2023-11-23 00:00:00",7.25,5.5
"2023-11-24 00:00:00",18.55,12.5
"2023-11-25 00:00:00",14.98,10.3
"2023-11-26 00:00:00",5.69,4.48
"2023-11-27 00:00:00",7.5,5.21
"2023-11-28 00:00:00",13.88,9.59
"2023-11-29 00:00:00",10.03,6.69
"2023-11-30 00:00:00",10.16,5.51
"2023-12-01 00:00:00",12.25,10.53
"2023-12-02 00:00:00",7.97,7.1
"2023-12-03 00:00:00",6.86,5.91
"2023-12-04 00:00:00",7.3,5.92
"2023-12-05 00:00:00",8.44,6.37
"2023-12-06 00:00:00",8.93,6.31
"2023-12-07 00:00:00",8.95,6.62
"2023-12-08 00:00:00",11.11,8.68
"2023-12-09 00:00:00",9.74,8.43
"2023-12-10 00:00:00",9.13,7.45
"2023-12-11 00:00:00",7.62,4.89
"2023-12-12 00:00:00",8.7,7.31
"2023-12-13 00:00:00",7.39,4.72
"2023-12-14 00:00:00",16.12,12.11
"2023-12-15 00:00:00",7.41,5.06
