"Date and Time","NO<sub>2</sub>","SO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",56.23,5.11,34.98,15.62
"2023-11-16 00:00:00",109.19,5.58,41.69,20.69
"2023-11-17 00:00:00",33.84,3.73,22.25,7.7
"2023-11-18 00:00:00",11.07,1,12.38,6.49
"2023-11-19 00:00:00",4.3,0.69,11.03,6.12
"2023-11-20 00:00:00",9.26,0.66,10.16,4.65
"2023-11-21 00:00:00",20.25,16.62,31.25,10.52
"2023-11-22 00:00:00",5.75,2.85,15.75,4.6
"2023-11-23 00:00:00",3.6,2.52,13.73,4.7
"2023-11-24 00:00:00",3.29,2.13,31.03,12.75
"2023-11-25 00:00:00",9.75,2.76,30,17.62
"2023-11-26 00:00:00",4.57,2.67,10.96,7.12
"2023-11-27 00:00:00",3.97,2.3,6.19,4.36
"2023-11-28 00:00:00",13.4,3.48,32.69,14.2
"2023-11-29 00:00:00",12.17,3.18,20.34,13.56
"2023-11-30 00:00:00",1.8,2.12,10.72,5.89
"2023-12-01 00:00:00",31.73,5.46,29.51,23.78
"2023-12-02 00:00:00",21.85,4.73,23.78,20.2
"2023-12-03 00:00:00",3.66,2.67,16.45,14.25
"2023-12-04 00:00:00",1.02,2.03,9.83,6.38
"2023-12-05 00:00:00",22.25,3.5,25,17.96
"2023-12-06 00:00:00",16.73,4.31,22,10.72
"2023-12-07 00:00:00",12.55,5.34,21.43,10.06
"2023-12-08 00:00:00",6.81,14.32,21.83,9.61
"2023-12-09 00:00:00",2.07,3.49,19.73,9.4
"2023-12-10 00:00:00",3.39,5.36,16.6,8.28
"2023-12-11 00:00:00",11.92,6.35,16.46,6.77
"2023-12-12 00:00:00",33.17,5.63,14.79,8.55
"2023-12-13 00:00:00",11.35,3.35,15.86,7.56
"2023-12-14 00:00:00",13.89,4.55,33.4,13.05
"2023-12-15 00:00:00",12.12,8.86,22.49,8.61
