"Date and Time","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",20.66,14.36
"2023-11-16 00:00:00",22.01,12.99
"2023-11-17 00:00:00",10.61,5.95
"2023-11-18 00:00:00",7.32,4.76
"2023-11-19 00:00:00",7.86,5.01
"2023-11-20 00:00:00",8.08,4.11
"2023-11-21 00:00:00",15.33,7.98
"2023-11-22 00:00:00",4.16,2.81
"2023-11-23 00:00:00",5.08,3.09
"2023-11-24 00:00:00",18.56,9.45
"2023-11-25 00:00:00",27.08,20.59
"2023-11-26 00:00:00",10.09,8.04
"2023-11-27 00:00:00",3.97,2.6
"2023-11-28 00:00:00",14.77,10.97
"2023-11-29 00:00:00",11.76,8.52
"2023-11-30 00:00:00",7.91,5.1
"2023-12-01 00:00:00",21.93,19.15
"2023-12-02 00:00:00",16.12,14.15
"2023-12-03 00:00:00",9.83,8.64
"2023-12-04 00:00:00",6.61,5.05
"2023-12-05 00:00:00",22.47,17.57
"2023-12-06 00:00:00",9.71,6.88
"2023-12-07 00:00:00",9.79,5.79
"2023-12-08 00:00:00",11.64,6.67
"2023-12-09 00:00:00",11.2,6.8
"2023-12-10 00:00:00",9.46,5.68
"2023-12-11 00:00:00",7.99,4.95
"2023-12-12 00:00:00",7.86,5.22
"2023-12-13 00:00:00",10.35,6.41
"2023-12-14 00:00:00",15.28,9.21
"2023-12-15 00:00:00",9.08,5.02
