"Date and Time","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",13.4,9.87
"2023-11-16 00:00:00",13.27,9.1
"2023-11-17 00:00:00",9.91,7.73
"2023-11-18 00:00:00",9.14,8.27
"2023-11-19 00:00:00",8.96,7.91
"2023-11-20 00:00:00",6.04,5.14
"2023-11-21 00:00:00",13.03,9.43
"2023-11-22 00:00:00",4.24,2.6
"2023-11-23 00:00:00",6.02,4.65
"2023-11-24 00:00:00",14.3,11.8
"2023-11-25 00:00:00",12.92,9.11
"2023-11-26 00:00:00",5.3,3.69
"2023-11-27 00:00:00",4.26,3.17
"2023-11-28 00:00:00",8.59,6
"2023-11-29 00:00:00",5.24,3.83
"2023-11-30 00:00:00",4.74,3.58
"2023-12-01 00:00:00",5.83,3.98
"2023-12-02 00:00:00",4.69,3.22
"2023-12-03 00:00:00",4.25,3.37
"2023-12-04 00:00:00",3.43,2.69
"2023-12-05 00:00:00",7.78,5.85
"2023-12-06 00:00:00",9.32,7.56
"2023-12-07 00:00:00",11.26,9.4
"2023-12-08 00:00:00",12.99,11.34
"2023-12-09 00:00:00",12.99,11.44
"2023-12-10 00:00:00",11.15,9.86
"2023-12-11 00:00:00",8.56,6.66
"2023-12-12 00:00:00",7.26,5.72
"2023-12-13 00:00:00",6.81,4.19
"2023-12-14 00:00:00",18.3,13.42
"2023-12-15 00:00:00",8.81,6.58
