"Date and Time","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",13.85,7.73
"2023-11-16 00:00:00",17.03,11.89
"2023-11-17 00:00:00",9.95,4.95
"2023-11-18 00:00:00",7.93,4.85
"2023-11-19 00:00:00",8.26,4.95
"2023-11-20 00:00:00",6.49,3.61
"2023-11-21 00:00:00",13.57,6.7
"2023-11-22 00:00:00",3.48,2.17
"2023-11-23 00:00:00",5.39,2.88
"2023-11-24 00:00:00",17.01,8.06
"2023-11-25 00:00:00",22.18,16.22
"2023-11-26 00:00:00",7.8,6
"2023-11-27 00:00:00",6.41,3.79
"2023-11-28 00:00:00",12.3,8.93
"2023-11-29 00:00:00",10.45,7.97
"2023-11-30 00:00:00",6.78,4.04
"2023-12-01 00:00:00",18.35,16.12
"2023-12-02 00:00:00",9.86,8.53
"2023-12-03 00:00:00",11.17,10.23
"2023-12-04 00:00:00",6.25,4.73
"2023-12-05 00:00:00",7.24,4.81
"2023-12-06 00:00:00",8.08,5.93
"2023-12-07 00:00:00",9.08,4.83
"2023-12-08 00:00:00",13,7.02
"2023-12-09 00:00:00",11.07,6.5
"2023-12-10 00:00:00",9.96,5.69
"2023-12-11 00:00:00",7.3,3.84
"2023-12-12 00:00:00",6.86,3.92
"2023-12-13 00:00:00",6.71,4.15
"2023-12-14 00:00:00",15.07,8.59
"2023-12-15 00:00:00",9.81,5.02
