"Date and Time","NO<sub>2</sub>","SO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",28.39,2.37,28.03,12.27
"2023-11-16 00:00:00",34.06,5.18,39.24,18.79
"2023-11-17 00:00:00",13.94,1.52,25.47,7.33
"2023-11-18 00:00:00",4.19,1.61,9.5,5.43
"2023-11-19 00:00:00",-1.29,1.35,7.56,4.74
"2023-11-20 00:00:00",11.22,1.13,10.42,4.17
"2023-11-21 00:00:00",21.79,1.19,18.71,7.83
"2023-11-22 00:00:00",6.87,0.67,4.96,2.42
"2023-11-23 00:00:00",5.96,0.28,7.12,3.66
"2023-11-24 00:00:00",25.49,1.3,23.72,9.87
"2023-11-25 00:00:00",35.85,2.66,28.03,14.72
"2023-11-26 00:00:00",9.71,1.26,7.92,4.99
"2023-11-27 00:00:00",16.49,1.48,12,4.76
"2023-11-28 00:00:00",32.82,2.54,16.05,9.45
"2023-11-29 00:00:00",32.51,2.85,17.42,10.28
"2023-11-30 00:00:00",31.76,5.63,8.62,4.63
"2023-12-01 00:00:00",40.58,4.25,19.47,15.34
"2023-12-02 00:00:00",44.67,6.38,21.6,15.65
"2023-12-03 00:00:00",33.08,3.22,13.26,11.41
"2023-12-04 00:00:00",24.3,3.42,9.03,5.15
"2023-12-05 00:00:00",35.21,3.53,17.8,13.15
"2023-12-06 00:00:00",14.8,2.15,12.33,6.89
"2023-12-07 00:00:00",18.62,2.57,14,7.23
"2023-12-08 00:00:00",8,2.76,11.28,6.58
"2023-12-09 00:00:00",7.04,1.91,12.17,6.78
"2023-12-10 00:00:00",6.29,2.01,10.47,6.08
"2023-12-11 00:00:00",19.32,1.72,9.01,4.39
"2023-12-12 00:00:00",40.12,2.86,13.68,7.05
"2023-12-13 00:00:00",28.63,2.74,11.55,6.36
"2023-12-14 00:00:00",28.01,1.88,18.32,9.28
"2023-12-15 00:00:00",13.92,1.86,11.16,5.6
