"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",44.45,20.36,10.09
"2023-11-16 00:00:00",53.9,29.22,19.75
"2023-11-17 00:00:00",31.35,14.36,6.42
"2023-11-18 00:00:00",21.26,8.74,5.23
"2023-11-19 00:00:00",16.93,9.43,5.59
"2023-11-20 00:00:00",31.78,7.61,4.27
"2023-11-21 00:00:00",45.67,19.23,8.94
"2023-11-22 00:00:00",32.55,5.86,3.04
"2023-11-23 00:00:00",28.69,6.93,3.47
"2023-11-24 00:00:00",52.52,22.32,10.93
"2023-11-25 00:00:00",50.43,34.34,24.99
"2023-11-26 00:00:00",40.9,10.84,8.12
"2023-11-27 00:00:00",16.74,5.11,3.63
"2023-11-28 00:00:00",47.05,19.74,11.94
"2023-11-29 00:00:00",46.69,18.48,14.01
"2023-11-30 00:00:00",41.48,10.05,6.01
"2023-12-01 00:00:00",50.36,25.69,22.04
"2023-12-02 00:00:00",55.26,17.21,14.56
"2023-12-03 00:00:00",41.06,17.43,15.59
"2023-12-04 00:00:00",35.98,8.66,5.95
"2023-12-05 00:00:00",48.99,21.01,16.4
"2023-12-06 00:00:00",22.57,15.52,11.27
"2023-12-07 00:00:00",26.83,11.5,6.1
"2023-12-08 00:00:00",23.03,15.34,7.96
"2023-12-09 00:00:00",20.62,13.43,7.5
"2023-12-10 00:00:00",16.38,12.44,6.78
"2023-12-11 00:00:00",34,10.09,5.22
"2023-12-12 00:00:00",54.2,10.37,6.43
"2023-12-13 00:00:00",39.51,12.17,7.7
"2023-12-14 00:00:00",43.17,19.78,10.13
"2023-12-15 00:00:00",34.95,14.62,6.48
