"Date and Time","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-15 00:00:00",24.23,18.9
"2023-11-16 00:00:00",27.78,19.96
"2023-11-17 00:00:00",16.68,12.35
"2023-11-18 00:00:00",13.56,12.52
"2023-11-19 00:00:00",11.42,11.12
"2023-11-20 00:00:00",11.03,10.04
"2023-11-21 00:00:00",24.15,16.28
"2023-11-22 00:00:00",8.05,7.08
"2023-11-23 00:00:00",11.81,10.6
"2023-11-24 00:00:00",26,20.06
"2023-11-25 00:00:00",23.48,17.87
"2023-11-26 00:00:00",8.69,8.24
"2023-11-27 00:00:00",10.43,8.8
"2023-11-28 00:00:00",20.66,13.69
"2023-11-29 00:00:00",17.36,11.93
"2023-11-30 00:00:00",11.48,9.99
"2023-12-01 00:00:00",15.75,13.32
"2023-12-02 00:00:00",15.23,12.7
"2023-12-03 00:00:00",27.64,11.58
"2023-12-04 00:00:00",8.32,8.16
"2023-12-05 00:00:00",13.73,12.46
"2023-12-06 00:00:00",11.8,11.4
"2023-12-07 00:00:00",15.38,13.98
"2023-12-08 00:00:00",15.44,14.75
"2023-12-09 00:00:00",16.05,15.59
"2023-12-10 00:00:00",13.94,13.22
"2023-12-11 00:00:00",12.45,10.63
"2023-12-12 00:00:00",10.86,10.27
"2023-12-13 00:00:00",13.18,10.13
"2023-12-14 00:00:00",25.69,18.84
"2023-12-15 00:00:00",15.3,11.46
