"Date and Time","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-11-20 00:00:00",8.75,6.44
"2023-11-21 00:00:00",13.64,10.44
"2023-11-22 00:00:00",3.47,2.53
"2023-11-23 00:00:00",5.95,4.85
"2023-11-24 00:00:00",16.11,13.83
"2023-11-25 00:00:00",12.56,9.28
"2023-11-26 00:00:00",3.77,3
"2023-11-27 00:00:00",3.89,2.99
"2023-11-28 00:00:00",9.65,6.38
"2023-11-29 00:00:00",4.85,3.44
"2023-11-30 00:00:00",4.52,3.64
"2023-12-01 00:00:00",6.63,4.78
"2023-12-02 00:00:00",4.35,3.25
"2023-12-03 00:00:00",4.44,3.9
"2023-12-04 00:00:00",3.1,2.43
"2023-12-05 00:00:00",7.44,5.82
"2023-12-06 00:00:00",5.33,4.73
"2023-12-07 00:00:00",9.16,8.53
"2023-12-08 00:00:00",12.96,12.52
"2023-12-09 00:00:00",12.73,12.03
"2023-12-10 00:00:00",11.77,11.2
"2023-12-11 00:00:00",7.5,6.52
"2023-12-12 00:00:00",8.17,7.06
"2023-12-13 00:00:00",5.34,3.8
"2023-12-14 00:00:00",16.85,14.46
"2023-12-15 00:00:00",8.04,7.09
