sensor,latitude,longitude
Ballyfermot,53.34060011538001,  -6.352405137238967
Cabra community college,53.36870620182768, -6.294039252877914
Coolock,53.39047902649211,-6.202379922338081
Custom house quay,53.347903261189025, -6.243811638998355
Davitt Road,53.33625286662976, -6.309290666071906
Donnybrook fire station,53.32292242278795, -6.237781795077743
Dublin port,53.35179089038088, -6.2048490427168765
Finglas,53.39013009806896, -6.306086566761901
Lord Edward street,53.34363589591451, -6.270284119627273
Marino,53.36810667206106,  -6.227724464987176
Mount joy square,53.35660908779633,  -6.25803750248306
Phoenix park,53.36369433568334, -6.348808351644368
Rathmines,53.32205365514751, -6.266963936939988
Ringsend,53.34177016610499, -6.21414501933721
Sandymount green,53.331863012381035, -6.215429868992855
St Anne's park,53.37289273683661,  -6.180444222126289
St Johns Road West,53.34573446522125, -6.295863450580619
Walkinstown library,53.31856537315572, -6.32179743938298
,,
,,
,,
,,
,,
,,
,,
,,
